"brokertitle","type","price","beds","bath","propertysqft","address","state","administrative_area_level_2","latitude","longitude","postcode"
Bergen Basin Realty Llc,House for sale,799000.0,3,2,2050.0,"2034 E 36th St","Brooklyn, NY ",United States,40.6090065,-73.9307581,"11234"
COMPASS,Condo for sale,4000000.0,4,4,3704.0,"247 Water St Unit Ph","Manhattan, NY ",United States,40.70799,-74.0021707,"10038"
RE MAX Prestige Properties,Co-op for sale,165000.0,1,1,625.0,"1922 McGraw Ave Apt 6E","Bronx, NY ",New York,40.8344985,-73.8605246,"10462"
TDMT - The Development Marketing Team,Condo for sale,1475000.0,2,2,1048.0,"429 Kent Ave Unit 902","Brooklyn, NY ",New York,40.7095127,-73.9677693,"11249"
TDMT - The Development Marketing Team,Condo for sale,595000.0,3,1,721.0,"595 Main St Apt 410","Roosevelt Island, NY ",New York,40.7630313,-73.9492357,"10044"
COMPASS,Townhouse for sale,3500000.0,10,8,6201.0,"313 W 92nd St","Manhattan, NY ",United States,40.793104,-73.975651,"10025"
Trademarko Realty Inc,Multi-family home for sale,1090000.0,12,6,4875.0,"17-25 Menahan St","Ridgewood, NY ",United States,40.7042392,-73.9113817,"11385"
Madison Estates Sotheby's International Realty,Pending,2499000.0,6,2,4500.0,"1694 54th St","Brooklyn, NY ",United States,40.6266809,-73.9862742,"11204"
Coldwell Banker Reliable Real Estate,House for sale,699999.0,5,2,2218.0,"2318 Holland Ave","Bronx, NY ",United States,40.8602009,-73.8653147,"10467"
Winzone Realty Inc,House for sale,899000.0,4,2,1672.0,"140-95 Burden Cres","Jamaica, NY ",United States,40.7114945,-73.8152211,"11435"
Momentum Real Estate Llc,House for sale,549000.0,3,2,1152.0,"15 Astor Ave","Staten Island, NY ",United States,40.6144686,-74.1592392,"10314"
Keller Williams NYC,Townhouse for sale,3700000.0,6,4,2400.0,"14 Fillmore Pl","Brooklyn, NY ",United States,40.7140718,-73.958911,"11211"
"Tom Crimmins Realty, Ltd.",House for sale,768000.0,5,2,1870.0,"18 Albion Pl","Staten Island, NY ",United States,40.6329148,-74.1328734,"10302"
Real Broker NY LLC,House for sale,949000.0,4,2,2476.0,"61 Park Dr N","Staten Island, NY ",United States,40.6006101,-74.1671861,"10314"
BLUEPRINT EQUITIES,Multi-family home for sale,980000.0,6,3,2184.207862,"1139 Grant Ave","Brooklyn, NY ",United States,40.6615804,-73.8615475,"11208"
Keller Williams Realty Greater Nassau,Multi-family home for sale,849000.0,8,3,4428.0,"660 Magenta St","Bronx, NY ",United States,40.8751331,-73.8687602,"10467"
EXP Realty,Co-op for sale,269000.0,1,1,2184.207862,"67-66 108th St Unit B68","Forest Hills, NY ",United States,40.7272034,-73.8471901,"11375"
Rock Home Realty Group Inc,House for sale,150000.0,3,2,2184.207862,"2862 Briggs Ave","Bronx Ny, NY ",United States,40.8693539,-73.8883183,"10458"
The Agency,Co-op for sale,770000.0,2,1,2184.207862,"66 W 84th St Apt 4A","New York, NY ",New York,40.7849377,-73.9729247,"10024"
Corcoran East Side,Multi-family home for sale,750000.0,1,1,630.0,"504 W 110th St Apt 9C","New York, NY ",New York,40.8032133,-73.9648078,"10025"
CAROZZA NICHOLAS M,House for sale,638000.0,3,2,1728.0,"154 Revere Ave Unit 5589/141","Nyc, NY ",New York,40.814845,-73.8159564,"10465"
Tony & William R E Brotherhood,Co-op for sale,199000.0,1,1,2184.207862,"138-69 Jewel Ave Unit A","Flushing, NY ",New York,40.7288599,-73.82754,"11367"
Charles H. Greenthal Property,Co-op for sale,239000.0,1,1,801.0,"26910 Grand Central Pkwy Apt 7P","Floral Park, NY ",New York,40.7577991,-73.7159564,"11005"
COMPASS,Townhouse for sale,6999500.0,5,2,4065.0,"446 W 22nd St","Manhattan, NY ",United States,40.7463287,-74.0034571,"10011"
Fillmore Real Estate,House for sale,693000.0,4,2,2184.207862,"220-19 135th Ave","Springfield Gardens, NY ",United States,40.6775526,-73.7497393,"11413"
Belle Maison Realty Inc,Multi-family home for sale,1150000.0,5,3,2184.207862,"79-10 Grand Ave","Elmhurst, NY ",United States,40.7313782,-73.8848912,"11373"
Corcoran Bedford Stuyvesant,Co-op for sale,549000.0,1,1,2184.207862,"56 Jane St Apt 1B","New York, NY ",New York,40.7380264,-74.0053843,"10014"
HomeSmart CrossIsland,House for sale,889000.0,3,2,2184.207862,"108-36 Ditmars Blvd","East Elmhurst, NY ",United States,40.7631381,-73.8622145,"11369"
Century 21 Realty First,Multi-family home for sale,1075000.0,7,3,2000.0,"257 49th St","Brooklyn, NY ",United States,40.6489509,-74.014767,"11220"
Douglas Elliman - 575 Madison Ave,House for sale,6995000.0,5,4,5000.0,"239 E 48th St","New York, NY ",United States,40.7541017,-73.9701626,"10017"
Local Realty,Co-op for sale,155000.0,3,1,2184.207862,"84-50 169 St Unit 519","Jamaica, NY ",New York,40.714825,-73.795696,"11432"
Douglas Elliman - 3544 Johnson Ave,Co-op for sale,349000.0,2,1,800.0,"773 Eastern Pkwy Apt 2A","Crown Heights, NY ",United States,40.6699639,-73.9428018,"11213"
